,power_SO,power_SO_relative,power_delta,power_delta_relative,power_sigma,power_sigma_relative,maxi,idx_maxi,mini,idx_mini,slope_positive,second_maxi,idx_second_maxi,slope_negative,num_of_zc_min_max,num_of_zc_max_min,kurtosis,skewness,KC
278,315.447,0.415,149.41,0.197,18.554,0.024,-21.846,221,-55.987,155,0.517,-0.97,106,-1.123,0,0,-0.519,0.029,no
279,90.574,0.206,145.987,0.332,4.151,0.009,-21.279,249,-40.191,199,0.378,7.617,158,-1.166,0,3,0.147,0.762,no
280,127.589,0.267,301.794,0.632,3.63,0.008,15.255,237,-43.722,194,1.372,17.752,154,-1.537,1,3,-0.62,0.031,no
281,73.155,0.273,64.509,0.241,7.707,0.029,-3.442,242,-31.037,197,0.613,-0.128,186,-2.81,0,0,-0.537,0.61,no
282,236.472,0.27,169.671,0.194,1.907,0.002,-11.029,241,-68.671,199,1.372,-24.877,158,-1.068,0,0,-0.522,0.358,no
283,412.12,0.385,300.532,0.281,34.479,0.032,-1.215,245,-47.676,199,1.01,-6.712,153,-0.891,0,0,-0.918,-0.395,no
284,169.777,0.264,320.544,0.499,8.01,0.012,-6.379,249,-55.015,199,0.973,-12.43,149,-0.852,0,0,-0.139,0.113,no
285,186.774,0.288,267.158,0.412,4.74,0.007,-35.012,240,-46.894,191,0.242,2.332,141,-0.985,0,1,-1.083,0.0,no
286,648.831,0.34,779.884,0.409,10.071,0.005,-28.485,249,-85.056,199,1.131,11.122,149,-1.924,0,1,0.373,-1.086,no
287,98.182,0.103,677.747,0.71,39.989,0.042,20.988,235,-72.723,199,2.603,34.47,154,-2.382,1,1,-0.446,-0.736,no
288,1010.264,0.325,1656.636,0.534,39.448,0.013,21.99,249,-109.051,190,2.221,36.578,160,-4.854,1,1,0.345,-0.905,no
289,48.192,0.073,383.373,0.582,25.79,0.039,23.719,249,-59.686,199,1.668,44.219,165,-3.056,5,1,-1.18,-0.247,no
290,63.121,0.085,551.131,0.742,12.07,0.016,16.574,249,-59.403,195,1.407,52.519,148,-2.381,3,1,0.038,0.198,no
291,1092.613,0.433,671.185,0.266,6.791,0.003,-28.717,236,-80.207,182,0.954,35.147,132,-2.307,0,1,-1.022,0.412,no
292,2.357,0.005,262.382,0.535,16.979,0.035,40.852,222,-53.205,197,3.762,40.114,172,-3.733,1,1,0.217,-0.058,no
293,356.204,0.361,226.784,0.23,13.666,0.014,-2.105,245,-53.039,199,1.107,14.316,166,-2.041,0,1,-0.449,-0.655,no
294,723.637,0.432,493.046,0.294,8.481,0.005,-34.214,249,-70.049,199,0.717,-22.319,180,-2.512,0,0,0.19,-0.809,no
